id,title,external_id,overview,vote_average,poster_path
51,Halloween Kills,610253,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",8,/ir9eyz1mtgsohjvo7UYtqUfFuES.jpg
64,Dune,438631,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",8,/s1FhMAr91WL8D5DeHOcuBELtiHJ.jpg
66,Knowing,13811,A teacher opens a time capsule that has been dug up at his son's elementary school; in it are some chilling predictions -- some that have already occurred and others that are about to -- that lead him to believe his family plays a role in the events that are about to unfold.,6,/nO9gTGDNdYnPr9ILKNQmk6EVTVR.jpg
71,Carriers,25769,"A deadly virus has spread across the globe. Contagion is everywhere, no one is safe, and no one can be trusted. Four friends race through the back roads of the American West on their way to a secluded utopian beach in the Gulf of Mexico where they could peacefully wait out the pandemic. Their plans take a grim turn when their car breaks down on an isolated road starting a chain of events that will seal their fates.",5,/jxjnjHtHXgvjdhkwpelE9ZwVMg6.jpg
76,Injustice,831405,"When Lois Lane is killed, an unhinged Superman decides to take control of the Earth. Determined to stop him, Batman creates a team of freedom-fighting heroes. But when superheroes go to war, can the world survive?",8,/lNRdCfVcjLs2LhO1Vb5rgnHV4JW.jpg
84,Army of the Dead,503736,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",6,/z8CExJekGrEThbpMXAmCFvvgoJR.jpg
90,"The Simpsons: The Good, the Bart, and the Loki",846214,Loki is banished from Asgard once again and must face his toughest opponents yet: the Simpsons and Springfield’s mightiest heroes. The God of Mischief teams up with Bart Simpson in the ultimate crossover event paying tribute to the Marvel Cinematic Universe of superheroes and villains.,7,/rtMdtzywcAGOrF6t8fbxJBqpdcq.jpg
91,Women,719164,A small town detective while investigating the disappearance of a local woman comes across an unassuming Sociology professor who is hiding a secret life.,5,/uR5zLDJeBCKCo4QP1VfKDS6WIhC.jpg
98,El mesero,678580,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,8,/zvGC5jX5wQmU1GgPc0VGZz7Mtcs.jpg
101,Confessions of an Invisible Girl,786705,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",6,/fRxz9cKaCOF5noUBvoA6cebOdUE.jpg
